	Unnamed: 0	topic_id	facet_id	facet	initial_request	question1	answer1	question2	answer2	question3	answer3
0	0	237	F0549	What are some remedies for a lump in the throat?	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	yes i would like to know what some of the remedies are	are you interested in seeing remedies for alleviating a lump in the throat	Yes, thank you	would you like to know what causes a lump in the throat	No, I just want to know what makes a lump in the throat go away.
1	1	220	F0506	What NBA records does Michael Jordan hold?	I'm interested in NBA records	what nba records are you interested in	i want to know about michael jordans records	are you interested in nba records for this season or all of history	I want to know for all seasons.	are you interested in team or individual nba records	Only the records that Michael Jordan holds.
2	2	254	F0602	Find pictures of Barrett's Esophagus.	Tell me about barrett's esophagus	would you like to know what is a suitable feet for someone who has barrets esophagus	no i just need to see pictures of barrets esophagus	do you want to know what barrets esophagus is	No not really, I just need to see what it looks like	do you want to know if barretts esophagus is serious	No I just want to see what Barret's Esophagus looks like.
3	3	258	F0614	Find pictures of a hip roof.	Find information on hip roof	would you like to know how to frame a hip roof	no i just want pictures of one	are you interested in more than one hip roof design	Sure. As many examples as you want to give me	which type of hip roof design are you interested in	I am interested in as many hip roof designs as possible.
4	4	215	F0487	Find Maryland DNR fishing reports.	Info on maryland department of natural resources	do you want to know the location of maryland department of natural resources	no i would like to know their fishing reports	would you like to conact the maryland department of natural resources	No.	would you like to know the responsibilities of the maryland department of natural resources	No just the fishing reports.
5	5	265	F0637	What were the ten worst tornadoes in the USA?	What were the worst tornadoes in the USA?	are you wondering where tornadoes are more likely	I don't understand your question.	are you interested in other categories of tornadoes	I don't understand your question	are there any specific media type on your mind shall i play a video of tornadoes	No, I would like to have a list of the top ten f5
6	6	222	F0511	What is the medical term for male menopause?	I'm looking for information on male menopause	would you like to know what age men may start male menopause	no i need to know the medical term for male menopause	why are you interested in learning more about male menopause	My husband is having symptoms, and I want to discuss the situation with the doctor.	do you want to know the symptoms of male menopause	Yes, I need to know them for future reference.
7	7	258	F0615	Find information on hip roof trusses.	Find information on hip roof	do you want to know where hip roofs are popular	i want to know about the trusses	do you want to know the common features of hip roofs	No.	would you like to see how a hip roof looks like	I would like pictures and more information on the trusses.
8	8	272	F0658	Find data on how to generally interpret dreams.	How can I interpret my dreams	do you want to know common ways to explain dreams	i am interested in information about interpreting dreams	do you want to know what dreams mean	Yes, I want to know what they mean in general.	are you interested in a book about dream interpretations	Yes, that might be helpful.
9	9	297	F0755	What is altitude sickness?	Tell me about altitude sickness.	would you like to know how to reverse altitude sickness	no i want to know what it is	do you want to know the symptoms of altitude sickness	I want to know what causes it first.	what aspects of altitude sickness are you looking for information on	Any aspects of it, I want to know any facts you have about altitude sickness.
10	10	233	F0538	Find reviews of hair dye removers.	Tell me about hair dye.	would you like to know about hair dye brands	i would like review of hair dye brands	would you like to know about hair dye colors	no, i would like ti know the latest brand in the market	are you interested in hair dye application or removal	No, I would like to see a list of reviews of hair dye removers.
