topic_id	initial_request	topic_desc	clarification_need	facet_id	facet_desc	question_id	question	answer
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q00384	are you interested in seeing barack obamas family	yes am interested in obamas family
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q03442	would you like to know barack obamas geneology	yes i want to know who made up his family
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q03402	would you like to know about obamas ancestors	yes this is what am looking for
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q03725	would you like to know who is currently alive from president obamas family tree	no find the barack obamas family tree time magazine photo essay
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q00769	are you looking for biological information on his family	no i need the specific time magazine article titled barack obamas family tree
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q01286	are you referring to the time magazine essay	yes please locate the photo essay
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q02152	do you want to know more about obamas parents	yes
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q02527	how many generations would you like me to list from president obamas family tree	none
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q02950	what would you like to know about obamas heritage	no i am looking for the time magazine article titled barack obamas family tree
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q03023	which family members of obama are you interested in learning more about	no i just want to see the barack obamas family tree photo essay on time magazine
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q03071	which specific details would you like to learn about obamas heritage	im looking for the time magazine photo essay called barack obamas family tree
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q03351	would you like to hear about president obamas family tree	i would like the barack obama family tree in the time magazine photo essay
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0001	"Find the TIME magazine photo essay ""Barack Obama's Family Tree""."	Q00001		
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q00384	are you interested in seeing barack obamas family	no i want to know where obamas parents and grandparents came from
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q03442	would you like to know barack obamas geneology	yes i want to know where obamas parents and grandparents came from
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q03402	would you like to know about obamas ancestors	yes particualarly information about his parents and grandparents
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q03725	would you like to know who is currently alive from president obamas family tree	no i want to know where his parents and grandparents are from
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q00769	are you looking for biological information on his family	yes specifically information about his parents and grandparents
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q01286	are you referring to the time magazine essay	no i need information about where obamas parents and grandparents are from
1	Tell me about Obama family tree.	Find information on President Barack Obama\'s family history, including genealogy, national origins, places and dates of birth, etc.	2	F0002	Where did Barack Obama's parents and grandparents come from?	Q02152	do you want to know more about obamas parents	no i would like to know more about obamas grand parrents
